,x,y
4857,2002.2527472527472,125.40983606557378
4754,2002.2527472527472,125.90163934426232
4971,2002.2527472527472,124.91803278688528
4753,2002.2527472527472,125.90163934426232
4862,2002.2857142857142,125.40983606557378
4861,2002.2857142857142,125.40983606557378
4860,2002.2857142857142,125.40983606557378
4689,2002.2857142857142,126.39344262295086
4663,2002.2857142857142,126.88524590163937
4755,2002.2857142857142,125.90163934426232
4757,2002.2857142857142,125.90163934426232
4690,2002.2857142857142,126.39344262295086
4691,2002.2857142857142,126.39344262295086
4662,2002.2857142857142,126.88524590163937
4756,2002.2857142857142,125.90163934426232
4664,2002.2857142857142,126.88524590163937
4641,2002.3186813186815,127.3770491803279
4692,2002.3186813186815,126.39344262295086
4693,2002.3186813186815,126.39344262295086
4642,2002.3186813186815,127.3770491803279
4694,2002.3186813186815,126.39344262295086
4643,2002.3186813186815,127.3770491803279
4667,2002.3186813186815,126.88524590163937
4666,2002.3186813186815,126.88524590163937
4665,2002.3186813186815,126.88524590163937
4758,2002.3186813186815,125.90163934426232
4759,2002.3186813186815,125.90163934426232
4760,2002.3186813186815,125.90163934426232
4591,2002.3516483516485,127.86885245901641
4592,2002.3516483516485,127.86885245901641
4535,2002.3516483516485,128.36065573770495
4534,2002.3516483516485,128.36065573770495
4644,2002.3516483516485,127.3770491803279
4669,2002.3516483516485,126.88524590163937
4646,2002.3516483516485,127.3770491803279
4645,2002.3516483516485,127.3770491803279
4590,2002.3516483516485,127.86885245901641
4668,2002.3516483516485,126.88524590163937
4670,2002.3516483516485,126.88524590163937
4533,2002.3516483516485,128.36065573770495
4536,2002.3846153846155,128.36065573770495
4537,2002.3846153846155,128.36065573770495
4538,2002.3846153846155,128.36065573770495
4510,2002.3846153846155,128.85245901639348
4511,2002.3846153846155,128.85245901639348
4509,2002.3846153846155,128.85245901639348
4593,2002.3846153846155,127.86885245901641
4649,2002.3846153846155,127.3770491803279
4648,2002.3846153846155,127.3770491803279
4647,2002.3846153846155,127.3770491803279
4594,2002.3846153846155,127.86885245901641
4595,2002.3846153846155,127.86885245901641
4539,2002.4175824175825,128.36065573770495
4485,2002.4175824175825,129.344262295082
4486,2002.4175824175825,129.344262295082
4487,2002.4175824175825,129.344262295082
4514,2002.4175824175825,128.85245901639348
4513,2002.4175824175825,128.85245901639348
4512,2002.4175824175825,128.85245901639348
4434,2002.4175824175825,129.83606557377053
4435,2002.4175824175825,129.83606557377053
4436,2002.4175824175825,129.83606557377053
4541,2002.4175824175825,128.36065573770495
4540,2002.4175824175825,128.36065573770495
